;Мужчины и женщины город;Мужчины город;Женщины город;Мужчины и женщины село;Мужчины село;Женщины село
0 лет;0,992525;0,991658;0,993442;0,990321;0,989209;0,991496
1 год;0,999307;0,999221;0,999397;0,998812;0,998709;0,998921
2 года;0,999558;0,999517;0,999601;0,999358;0,999298;0,99942
3 года;0,999668;0,999609;0,99973;0,999441;0,999288;0,999601
4 года;0,9997;0,999671;0,999731;0,999524;0,999445;0,999607
5 лет;0,999695;0,999636;0,999757;0,999515;0,999444;0,999589
6 лет;0,999757;0,999749;0,999767;0,999546;0,999453;0,999644
7 лет;0,999726;0,999684;0,99977;0,999622;0,999522;0,999725
8 лет;0,999746;0,999718;0,999776;0,999609;0,999504;0,999718
9 лет;0,999771;0,999707;0,999837;0,999589;0,9995;0,999681
10 лет;0,999747;0,999691;0,999805;0,999659;0,999555;0,999768
11 лет;0,999745;0,99972;0,999772;0,999614;0,999589;0,99964
12 лет;0,999714;0,99963;0,999801;0,99964;0,999515;0,99977
13 лет;0,999668;0,999588;0,999752;0,999544;0,999484;0,999606
14 лет;0,99959;0,999537;0,999645;0,999442;0,999318;0,999571
15 лет;0,999452;0,999331;0,999579;0,999312;0,999169;0,999462
16 лет;0,999398;0,999267;0,999533;0,999135;0,998873;0,999411
17 лет;0,999234;0,998957;0,999519;0,998697;0,998241;0,999181
18 лет;0,998939;0,99854;0,999348;0,998492;0,997909;0,999119
19 лет;0,998832;0,998299;0,999373;0,998444;0,997772;0,999176
20 лет;0,998685;0,998076;0,999301;0,998229;0,997371;0,999158
21 лет;0,998579;0,997904;0,999258;0,997935;0,996856;0,999104
22 лет;0,998462;0,997582;0,99934;0,997682;0,996476;0,999007
23 лет;0,99839;0,997497;0,999263;0,997534;0,99632;0,998918
24 лет;0,998211;0,997209;0,999185;0,997067;0,995595;0,998785
25 лет;0,997918;0,99682;0,999013;0,996456;0,994544;0,99854
26 лет;0,997633;0,996336;0,998941;0,996266;0,994209;0,998399
27 лет;0,99727;0,995771;0,998758;0,996284;0,99427;0,99842
28 лет;0,996936;0,995175;0,998655;0,995925;0,993789;0,998217
29 лет;0,996609;0,994655;0,998508;0,995824;0,993686;0,998114
30 лет;0,996028;0,993722;0,998249;0,995652;0,993382;0,998071
31 лет;0,996002;0,993638;0,99826;0,995125;0,992646;0,997738
32 лет;0,995947;0,993596;0,998194;0,994931;0,992238;0,997729
33 лет;0,995702;0,993141;0,998154;0,994732;0,992005;0,997537
34 лет;0,995668;0,993148;0,998074;0,994679;0,991828;0,997589
35 лет;0,995386;0,992831;0,997823;0,994381;0,991478;0,997319
